id,rsex,typeschl,sclotbul,stfbuljb,gotostaf,schlbul,ubullsch,oftenbul,ubulloth,oftenub
401.0,Female,Grammar,A lot,Yes,Would not talk to them,Yes,No,,No,
402.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
403.0,Female,Secondary,A lot,No,,No,Yes,Not at all,No,
404.0,Male,Grammar,A lot,Yes,Would talk to them,No,Yes,Not at all,Yes,Not at all 
405.0,Female,Secondary,A lot,No,,No,Yes,Not at all,Yes,Not at all 
406.0,Female,Grammar,A little,No,,No,No,,No,
407.0,Male,Secondary,A lot,,,No,No,,No,
408.0,Female,Secondary,Don't know,Yes,It depends,Yes,No,,No,
409.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
410.0,Female,Grammar,A little,Yes,It depends,No,Yes,Not at all,No,
411.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
412.0,Female,Grammar,A little,Yes,It depends,Don't know,No,,No,
413.0,Female,Secondary,A little,Yes,Would not talk to them,No,No,,No,
414.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
415.0,Female,Grammar,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
416.0,Female,Grammar,A little,No,,No,No,,No,
417.0,Female,Secondary,A little,Don't know,,Don't know,No,,No,
418.0,Male,Grammar,Not at all,Yes,Would talk to them,Yes,Yes,Not at all,No,
419.0,Female,Grammar,A little,Don't know,,No,No,,No,
420.0,Male,Grammar,A little,Yes,It depends,No,No,,No,
421.0,Female,Grammar,Don't know,Yes,Would not talk to them,No,No,,No,
422.0,Male,Grammar,Not at all,Don't know,,Yes,No,,No,
423.0,Male,Grammar,A little,Yes,It depends,No,Yes,A little,No,
424.0,Female,Secondary,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
425.0,Female,Grammar,A little,Yes,It depends,No,No,,No,
426.0,Female,Planned Integrated,A little,No,,No,Yes,Not at all,Yes,A little
427.0,Female,Grammar,A little,Yes,It depends,Yes,No,,,
428.0,Female,Secondary,A little,Yes,It depends,No,No,,No,
429.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
430.0,Male,Grammar,A little,Yes,Would not talk to them,No,No,,No,
431.0,Female,Secondary,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
432.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
433.0,Male,Secondary,A lot,No,,No,No,,Yes,A little
434.0,Male,Grammar,Not at all,Yes,It depends,Yes,No,,,
435.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
436.0,Female,Grammar,A little,Yes,Would not talk to them,No,Yes,A little,No,
437.0,Male,Grammar,A little,No,,Don't know,No,,Yes,Not at all 
438.0,Female,Grammar,Don't know,Yes,It depends,Don't know,No,,No,
439.0,Female,Secondary,A little,Don't know,,Yes,No,,No,
440.0,Male,Secondary,A little,,,Don't know,No,,No,
441.0,Female,Secondary,A lot,No,,No,Yes,Not at all,No,
442.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
443.0,Male,Grammar,Not at all,Yes,Would not talk to them,Yes,No,,No,
444.0,Male,Grammar,A little,No,,Yes,No,,No,
445.0,Male,Secondary,A lot,No,,Don't know,Yes,A little,No,
446.0,Female,Secondary,A little,Yes,Would not talk to them,No,No,,No,
447.0,Female,Grammar,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
448.0,Male,Secondary,A little,No,,No,Yes,Not at all,No,
449.0,Male,Grammar,Don't know,Yes,It depends,Yes,No,,No,
450.0,Male,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
451.0,Female,Grammar,A little,Yes,Don't know,Don't know,No,,No,
452.0,Female,Secondary,A little,Don't know,,No,No,,No,
453.0,Female,Secondary,A little,Yes,It depends,Don't know,Yes,A little,No,
454.0,Male,Secondary,Not at all,Yes,It depends,Yes,No,,No,
455.0,Female,Secondary,A little,Don't know,,Yes,No,,No,
456.0,Female,Grammar,Don't know,Don't know,,Yes,No,,No,
457.0,Female,Secondary,A lot,Yes,It depends,No,No,,No,
458.0,Female,Secondary,A little,Don't know,,No,Yes,A little,No,
459.0,Male,Secondary,A little,Don't know,,Don't know,No,,No,
460.0,Female,Secondary,Not at all,Yes,Would talk to them,Yes,Yes,A lot,No,
461.0,Female,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
462.0,Female,Secondary,A little,Don't know,,Yes,Yes,Not at all,No,
463.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
464.0,Female,Secondary,A little,Yes,Would talk to them,Yes,Yes,A little,No,
465.0,Female,Grammar,A little,Yes,It depends,Don't know,Yes,Not at all,No,
466.0,Female,Secondary,A little,Don't know,,No,No,,No,
467.0,Female,Grammar,Not at all,Yes,Would talk to them,Yes,No,,No,
468.0,Male,Secondary,A little,Yes,Would talk to them,Don't know,No,,No,
469.0,Female,Grammar,A little,No,,Yes,No,,No,
470.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
471.0,Female,Secondary,A little,Don't know,,Don't know,Yes,Not at all,No,
472.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
473.0,Female,Secondary,A lot,Yes,It depends,Yes,No,,No,
474.0,Female,Secondary,A little,Yes,It depends,No,No,,No,
475.0,Male,,,,,,,,,
476.0,Male,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
477.0,Female,Other,A little,Don't know,,Yes,No,,No,
478.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
479.0,Male,Grammar,A little,Don't know,,Yes,Yes,A little,No,
480.0,Male,Secondary,Not at all,Yes,It depends,Yes,No,,No,
481.0,Female,,,,,,,,,
482.0,Male,Grammar,Don't know,Yes,It depends,Don't know,No,,No,
483.0,Male,Grammar,Not at all,Yes,It depends,Yes,No,,No,
484.0,Female,Secondary,A little,Yes,It depends,Don't know,No,,No,
485.0,Female,Planned Integrated,A little,Yes,It depends,Don't know,No,,No,
486.0,Female,Secondary,A little,Yes,It depends,,No,,No,
487.0,Male,Grammar,Not at all,Don't know,,Yes,No,,No,
488.0,Female,Grammar,A little,Don't know,,Yes,No,,No,
489.0,Male,Secondary,A little,Yes,Would not talk to them,No,No,,No,
490.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
491.0,Male,Secondary,A little,Yes,It depends,Don't know,Yes,Not at all,No,
492.0,Male,Grammar,A little,No,,No,Yes,Not at all,Yes,Not at all 
493.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
494.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
495.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
496.0,Female,Secondary,A little,Don't know,,Don't know,No,,No,
497.0,Female,Grammar,A little,Don't know,,No,Yes,A lot,No,
498.0,Female,Secondary,Not at all,Yes,It depends,Yes,No,,No,
499.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
500.0,Female,Secondary,A little,Yes,It depends,Yes,No,,Yes,Not at all 
501.0,Male,Secondary,A little,Yes,It depends,Don't know,No,,No,
502.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
503.0,Female,Secondary,A little,No,,No,Yes,Not at all,Yes,Not at all 
504.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
505.0,Female,Secondary,A little,Yes,It depends,No,Yes,Not at all,No,
506.0,Male,Secondary,A little,Yes,Would not talk to them,No,No,,No,
507.0,Female,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
508.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
509.0,Female,Grammar,Don't know,Yes,Would talk to them,Yes,No,,No,
510.0,Female,Grammar,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
511.0,Female,Secondary,A little,Yes,It depends,No,Yes,Not at all,No,
512.0,Male,Grammar,Not at all,Yes,It depends,Yes,No,,No,
513.0,Male,Secondary,Don't know,Yes,It depends,Yes,No,,No,
514.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
515.0,Female,Planned Integrated,A little,Yes,It depends,Yes,No,,No,
516.0,Female,Grammar,A lot,Don't know,,No,Yes,A little,No,
517.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
518.0,Female,Secondary,Not at all,Yes,Would talk to them,Yes,No,,No,
519.0,Male,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
520.0,Female,Secondary,Not at all,Yes,Would talk to them,Yes,No,,No,
521.0,Female,Grammar,A little,Yes,It depends,Don't know,No,,No,
522.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
523.0,Female,Other,A little,Yes,It depends,Yes,No,,No,
524.0,Female,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
525.0,Female,Secondary,A little,Yes,Would talk to them,No,No,,No,
526.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
527.0,Male,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
528.0,Female,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
529.0,Female,Secondary,A little,Don't know,,Yes,Yes,Not at all,No,
530.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
531.0,Female,Grammar,A little,Don't know,,Don't know,Yes,Not at all,No,
532.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
533.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
534.0,Male,Grammar,A lot,No,,No,Yes,A little,No,
535.0,Male,Secondary,A little,Yes,It depends,Yes,Yes,A little,No,
536.0,Female,Secondary,Don't know,Yes,It depends,Yes,No,,No,
537.0,Female,Planned Integrated,A little,Yes,It depends,Don't know,No,,No,
538.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
539.0,Male,Grammar,A little,Yes,It depends,Don't know,No,,No,
540.0,Female,Secondary,A lot,Yes,It depends,No,No,,No,
541.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
542.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
543.0,Male,Secondary,Don't know,Don't know,,Don't know,No,,No,
544.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
545.0,Female,Other,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
546.0,Female,Grammar,A little,No,,No,No,,No,
547.0,Female,Secondary,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
548.0,Female,Grammar,Not at all,,,,No,,No,
549.0,Male,Secondary,Don't know,Don't know,,Yes,Yes,A little,Yes,Not at all 
550.0,Female,Grammar,A little,No,,No,No,,No,
551.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
552.0,Female,Secondary,A little,Yes,Would not talk to them,No,Yes,A lot,Yes,Not at all 
553.0,Male,Grammar,A little,Yes,It depends,No,No,,No,
554.0,Female,Secondary,A lot,No,,No,No,,Yes,A lot
555.0,Female,Secondary,A little,Yes,It depends,No,No,,No,
556.0,Female,Grammar,A little,Don't know,,No,No,,No,
557.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
558.0,Male,Grammar,A little,No,,Yes,Yes,Not at all,Yes,Not at all 
559.0,Female,Grammar,A little,Yes,Would talk to them,Don't know,No,,No,
560.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
561.0,Female,Grammar,A little,No,,Yes,No,,No,
562.0,Female,Secondary,A lot,Yes,It depends,No,No,,No,
563.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
564.0,Female,Grammar,Don't know,Yes,It depends,Yes,No,,No,
565.0,Female,Secondary,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
566.0,Male,Grammar,A lot,Yes,It depends,Yes,No,,No,
567.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
568.0,Female,Secondary,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
569.0,Female,Secondary,A lot,No,,No,Yes,Not at all,No,
570.0,Male,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
571.0,Female,Secondary,Don't know,No,,Yes,No,,No,
572.0,Female,Secondary,A little,Don't know,,No,No,,No,
573.0,Male,Grammar,Don't know,Don't know,,Don't know,No,,No,
574.0,Female,Grammar,A little,Yes,It depends,Yes,No,,,
575.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
576.0,Male,Grammar,A little,No,,No,Yes,A little,No,
577.0,Male,Grammar,A little,Don't know,,Don't know,No,,No,
578.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
579.0,Male,Grammar,A little,Yes,It depends,Yes,No,,Yes,A lot
580.0,Male,Grammar,A little,Yes,It depends,No,Yes,Not at all,No,
581.0,Male,Grammar,A little,No,,Yes,No,,No,
582.0,Male,Secondary,A little,Yes,Would not talk to them,No,Yes,A little,No,
583.0,Female,Grammar,A little,Yes,It depends,Yes,,,,
584.0,Male,Secondary,A little,No,,Yes,No,,Yes,Not at all 
585.0,Male,Secondary,A little,Yes,Would talk to them,Yes,Yes,A little,No,
586.0,Male,Secondary,A little,Yes,It depends,Don't know,Yes,Not at all,Yes,A little
587.0,Male,,,,,,,,,
588.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
589.0,Female,Planned Integrated,A lot,Don't know,,No,Yes,A lot,No,
590.0,Female,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
591.0,Female,Secondary,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
592.0,Female,Secondary,A lot,No,,No,Yes,A lot,No,
593.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
594.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
595.0,Male,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
596.0,Male,Grammar,A little,No,,No,No,,No,
597.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
598.0,Male,Secondary,A lot,Don't know,,Yes,No,,No,
599.0,Female,Grammar,A little,Yes,It depends,Don't know,Yes,A little,No,
600.0,Female,Grammar,A little,Don't know,,Yes,No,,No,
601.0,Male,Grammar,A little,Yes,Don't know,Don't know,Yes,Not at all,No,
602.0,Male,Grammar,Not at all,Yes,It depends,Don't know,No,,No,
603.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
604.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
605.0,Female,Secondary,A little,No,,No,No,,No,
606.0,Female,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
607.0,Female,Grammar,Don't know,No,,Don't know,No,,No,
608.0,Female,Grammar,Not at all,Yes,It depends,Yes,Yes,Not at all,No,
609.0,Female,Grammar,A little,Yes,It depends,Don't know,Yes,Not at all,No,
610.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
611.0,Female,Secondary,A little,Yes,Would not talk to them,No,No,,No,
612.0,Female,Other,Don't know,Don't know,,Don't know,No,,No,
613.0,Female,Grammar,A lot,Yes,It depends,Don't know,Yes,A little,No,
614.0,Female,Grammar,A little,Yes,It depends,Don't know,No,,No,
615.0,Male,Secondary,Don't know,Don't know,,Don't know,No,,No,
616.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
617.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
618.0,Male,Grammar,A little,Yes,It depends,No,No,,No,
619.0,Male,Grammar,A little,Yes,Don't know,Don't know,No,,Yes,Not at all 
620.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,A little,No,
621.0,Female,Secondary,A lot,Yes,It depends,Don't know,No,,No,
622.0,Female,Secondary,A little,No,,Don't know,Yes,Not at all,No,
623.0,Female,Grammar,Don't know,Don't know,,Yes,No,,No,
624.0,Female,Secondary,A little,Don't know,,Yes,No,,No,
625.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
626.0,Female,Grammar,A little,No,,Yes,Yes,Not at all,Yes,Not at all 
627.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
628.0,Female,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
629.0,Female,Secondary,A little,Yes,It depends,Don't know,No,,No,
630.0,Female,Secondary,Not at all,No,,Yes,No,,No,
631.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
632.0,Male,Secondary,Not at all,Yes,It depends,Yes,No,,No,
633.0,Male,Secondary,A little,Yes,It depends,Don't know,No,,Yes,A little
634.0,Male,Secondary,A lot,Don't know,,Don't know,No,,No,
635.0,Female,Secondary,A little,Yes,Would not talk to them,Don't know,No,,No,
636.0,Male,Grammar,Not at all,Don't know,,Don't know,No,,No,
637.0,Female,Secondary,A little,Yes,It depends,No,No,,No,
638.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,Yes,A little
639.0,Female,Planned Integrated,A little,Yes,Would talk to them,Yes,No,,No,
640.0,Female,Secondary,Don't know,Yes,It depends,Don't know,No,,No,
641.0,Male,Secondary,A little,Don't know,,Don't know,No,,No,
642.0,Male,Secondary,A little,Yes,Would not talk to them,No,No,,Yes,Not at all 
643.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
644.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
645.0,Male,Grammar,Not at all,Yes,It depends,Yes,No,,No,
646.0,Male,Secondary,A little,Don't know,,Yes,No,,No,
647.0,Female,Grammar,Don't know,No,,No,No,,No,
648.0,Male,Grammar,Not at all,Don't know,,Yes,No,,No,
649.0,Male,Planned Integrated,A little,Yes,It depends,Yes,No,,No,
650.0,Female,Grammar,Don't know,Yes,It depends,Yes,No,,No,
651.0,Male,Secondary,Not at all,Yes,Would talk to them,Yes,No,,No,
652.0,Female,Grammar,Don't know,No,,Yes,No,,No,
653.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
654.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
655.0,Female,Secondary,Don't know,No,,No,Yes,Not at all,No,
656.0,Female,,,,,,,,,
657.0,Female,Secondary,A lot,Yes,It depends,Yes,No,,No,
658.0,Female,Secondary,Don't know,Don't know,,Yes,No,,No,
659.0,Female,Secondary,Don't know,Yes,It depends,Yes,No,,No,
660.0,Female,Secondary,A little,Don't know,,Don't know,Yes,Not at all,No,
661.0,Female,Grammar,A lot,Yes,It depends,No,No,,No,
662.0,Male,Grammar,A little,No,,Don't know,Yes,Not at all,Yes,Not at all 
663.0,Male,Secondary,A lot,Don't know,,No,No,,No,
664.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
665.0,Male,Grammar,A little,No,,No,No,,No,
666.0,Male,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
667.0,Female,Secondary,A lot,Yes,It depends,No,Yes,A lot,No,
668.0,Male,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
669.0,Male,Planned Integrated,A little,No,,No,No,,No,
670.0,Female,Secondary,A lot,Yes,Would not talk to them,Yes,Yes,Not at all,Yes,Not at all 
671.0,Female,Secondary,A lot,Yes,Would not talk to them,Yes,Yes,Not at all,No,
672.0,Male,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,Yes,Not at all 
673.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
674.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
675.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
676.0,Male,,,,,,,,,
677.0,Male,Secondary,Don't know,Yes,It depends,Yes,No,,No,
678.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
679.0,Male,Grammar,A lot,Yes,Would talk to them,No,Yes,Not at all,No,
680.0,Male,Grammar,A little,,,,No,,No,
681.0,Male,Grammar,A little,Yes,Would not talk to them,Don't know,No,,No,
682.0,Male,Secondary,A little,Yes,Don't know,Yes,No,,No,
683.0,Male,Planned Integrated,Don't know,Don't know,,Yes,No,,Yes,Not at all 
684.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
685.0,Female,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
686.0,Female,Planned Integrated,Don't know,Don't know,,No,No,,No,
687.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
688.0,Female,Secondary,A lot,Yes,Would not talk to them,Yes,Yes,A little,No,
689.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
690.0,Male,Secondary,A lot,Yes,It depends,Yes,Yes,A little,No,
691.0,Female,Secondary,Don't know,Yes,It depends,Yes,No,,No,
692.0,Male,Planned Integrated,A little,Yes,It depends,Yes,Yes,Not at all,No,
693.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
694.0,Male,Grammar,A little,No,,No,No,,No,
695.0,Female,Grammar,Don't know,Yes,It depends,Yes,No,,No,
696.0,Female,Grammar,A little,No,,No,No,,No,
697.0,Male,Grammar,A lot,Yes,Would not talk to them,No,Yes,A little,No,
698.0,Male,Other,A little,Yes,Would not talk to them,Don't know,No,,No,
699.0,Male,Grammar,A little,Yes,It depends,No,Yes,Not at all,No,
700.0,Female,Secondary,A little,No,,Yes,No,,No,
701.0,Male,Grammar,A lot,Yes,Would not talk to them,No,No,,No,
702.0,Female,Secondary,A little,Yes,Would talk to them,Don't know,Yes,Not at all,No,
703.0,Male,Grammar,A little,Yes,It depends,Don't know,No,,No,
704.0,Female,Grammar,Don't know,Yes,It depends,Don't know,No,,No,
705.0,Female,Grammar,A lot,Yes,It depends,Yes,Yes,Not at all,No,
706.0,Male,Secondary,A lot,,,,Yes,,No,
707.0,Male,Secondary,Not at all,No,,Don't know,No,,No,
708.0,Female,Grammar,Don't know,Yes,It depends,Yes,Yes,Not at all,No,
709.0,Male,Secondary,A little,Yes,Would not talk to them,Don't know,No,,Yes,Not at all 
710.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
711.0,Female,Secondary,A lot,No,,No,Yes,Not at all,Yes,A little
712.0,Male,Grammar,A little,Don't know,,Don't know,No,,No,
713.0,Female,Secondary,A little,,,,No,,No,
714.0,Female,,,,,,,,,
715.0,Female,Grammar,Don't know,Don't know,,Don't know,Yes,Not at all,No,
716.0,Male,Grammar,Don't know,Don't know,,Don't know,No,,No,
717.0,Male,Secondary,Don't know,Don't know,,Yes,No,,No,
718.0,Male,Secondary,A little,Yes,It depends,,No,,No,
719.0,Female,Grammar,A little,Yes,Would not talk to them,No,Yes,A little,No,
720.0,Male,Secondary,Not at all,Don't know,,Yes,No,,No,
721.0,Female,Grammar,Don't know,Yes,Would talk to them,Don't know,No,,No,
722.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
723.0,Female,Planned Integrated,A lot,Don't know,,No,No,,No,
724.0,Female,Secondary,A little,Don't know,,Yes,No,,No,
725.0,Female,Grammar,A little,Don't know,,Don't know,Yes,Not at all,No,
726.0,Female,Grammar,A lot,Don't know,,Don't know,No,,No,
727.0,Male,Grammar,A little,No,,Yes,Yes,Not at all,No,
728.0,Female,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
729.0,Female,Secondary,A little,Yes,Would talk to them,,Yes,,No,
730.0,Male,Grammar,A little,Don't know,,No,No,,No,
731.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
732.0,Female,Grammar,A little,Yes,It depends,Don't know,No,,No,
733.0,Male,Secondary,A little,Yes,It depends,No,No,,No,
734.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
735.0,Female,Secondary,A little,Yes,It depends,Don't know,No,,No,
736.0,Female,Secondary,A lot,Yes,It depends,Don't know,No,,No,
737.0,Female,Secondary,A little,Yes,Would talk to them,Don't know,Yes,Not at all,No,
738.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
739.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
740.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
741.0,Male,Secondary,Don't know,Don't know,,Don't know,No,,No,
742.0,Male,Grammar,A little,Yes,Would not talk to them,No,No,,No,
743.0,Male,Secondary,Not at all,Yes,It depends,Yes,No,,No,
744.0,Male,Other,A lot,Yes,Would not talk to them,Don't know,Yes,Not at all,Yes,A little
745.0,Male,Grammar,Don't know,Don't know,,Yes,No,,No,
746.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
747.0,Male,Grammar,A little,Don't know,,Don't know,No,,No,
748.0,Female,Secondary,A little,Yes,Would not talk to them,Don't know,Yes,A little,No,
749.0,Female,Grammar,A lot,No,,No,Yes,Not at all,No,
750.0,Female,Planned Integrated,A little,No,,Yes,Yes,A little,No,
751.0,Female,Grammar,A little,Yes,Would not talk to them,Don't know,No,,No,
752.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
753.0,Female,Grammar,Don't know,Yes,It depends,Yes,Yes,Not at all,No,
754.0,Male,Secondary,A little,Yes,It depends,Don't know,Yes,A little,No,
755.0,Male,Grammar,Not at all,No,,Yes,No,,No,
756.0,Female,Grammar,A little,Don't know,,Don't know,No,,No,
757.0,Female,,,,,,,,,
758.0,Female,Secondary,Not at all,No,,No,No,,No,
759.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
760.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
761.0,Female,Grammar,Don't know,Yes,It depends,Yes,No,,No,
762.0,Male,Secondary,Not at all,Don't know,,Yes,No,,No,
763.0,Male,,,,,,,,,
764.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
765.0,Male,Grammar,A little,Don't know,,No,Yes,A little,Yes,A little
766.0,Female,Grammar,A little,Don't know,,Don't know,No,,No,
767.0,Male,Secondary,A little,Yes,It depends,Don't know,,,No,
768.0,Male,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
769.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
770.0,Male,Secondary,A little,Yes,Would not talk to them,No,No,,No,
771.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
772.0,Male,Secondary,A lot,Yes,Would not talk to them,No,No,,No,
773.0,Female,Secondary,A little,No,,No,Yes,A little,No,
774.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
775.0,Male,Secondary,A little,No,,No,No,,Yes,A little
776.0,Male,Secondary,A lot,Yes,It depends,Don't know,No,,No,
777.0,Female,,,,,,,,,
778.0,Male,Grammar,Don't know,Yes,It depends,No,No,,No,
779.0,Male,Grammar,A little,No,,No,No,,No,
780.0,Male,Grammar,A little,No,,Yes,Yes,Not at all,Yes,Not at all 
781.0,Male,Secondary,A lot,Yes,It depends,Yes,Yes,Not at all,Yes,A little
782.0,Male,Secondary,A little,Yes,It depends,Don't know,Yes,Not at all,Yes,A little
783.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
784.0,Male,Grammar,A little,No,,No,Yes,Not at all,No,
785.0,Female,Planned Integrated,A little,Yes,It depends,Yes,No,,Yes,A little
786.0,Female,Grammar,A lot,Yes,It depends,No,Yes,Not at all,No,
787.0,Female,Grammar,Don't know,Yes,It depends,Don't know,No,,No,
788.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
789.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
790.0,Male,Secondary,Not at all,Yes,It depends,Don't know,No,,No,
791.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,Yes,
792.0,Female,Secondary,A lot,Yes,It depends,Yes,No,,No,
793.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
794.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
795.0,Female,Grammar,Not at all,Yes,Would talk to them,Yes,No,,No,
796.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
797.0,Male,Planned Integrated,A little,Yes,Would talk to them,Yes,No,,Yes,A little
798.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
